Country,Capital,Latitude,Longitude,Code,Continent
Slovakia,Bratislava,48.15,17.116667,SK,Europe
Slovenia,Ljubljana,46.05,14.516667,SI,Europe
Spain,Madrid,40.4,-3.683333,ES,Europe
Svalbard,Longyearbyen,78.21666667,15.633333,SJ,Europe
Sweden,Stockholm,59.33333333,18.05,SE,Europe
Switzerland,Bern,46.91666667,7.466667,CH,Europe
Turkey,Ankara,39.93333333,32.866667,TR,Europe
Ukraine,Kyiv,50.43333333,30.516667,UA,Europe
United Kingdom,London,51.5,-0.083333,GB,Europe
Vatican City,Vatican City,41.9,12.45,VA,Europe
Papua New Guinea,Port Moresby,-9.45,147.183333,PG,Australia
Pitcairn Islands,Adamstown,-25.06666667,-130.083333,PN,Australia
Samoa,Apia,-13.81666667,-171.766667,WS,Australia
Solomon Islands,Honiara,-9.433333333,159.95,SB,Australia
Tokelau,Atafu,-9.166667,-171.833333,TK,Australia
Tonga,Nuku’alofa,-21.13333333,-175.2,TO,Australia
Tuvalu,Funafuti,-8.516666667,179.216667,TV,Australia
US Minor Outlying Islands,"Washington, D.C.",38.883333,-77,UM,Australia
Vanuatu,Port-Vila,-17.73333333,168.316667,VU,Australia
Wallis and Futuna,Mata-Utu,-13.95,-171.933333,WF,Australia
Taiwan,Taipei,25.03333333,121.516667,TW,Asia
Tajikistan,Dushanbe,38.55,68.766667,TJ,Asia
Thailand,Bangkok,13.75,100.516667,TH,Asia
Timor-Leste,Dili,-8.583333333,125.6,TL,Asia
Turkmenistan,Ashgabat,37.95,58.383333,TM,Asia
United Arab Emirates,Abu Dhabi,24.46666667,54.366667,AE,Asia
Uzbekistan,Tashkent,41.31666667,69.25,UZ,Asia
Vietnam,Hanoi,21.03333333,105.85,VN,Asia
Yemen,Sanaa,15.35,44.2,YE,Asia
